priority_rank	validation_priority	validation_query	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	spatiallr_trust_score_pilot_v3	dataset_recurrence_n	external_method_support_count	tri_method_support_count	target_genes_detected	target_genes_detected_list	receiver_target_enrichment	receiver_target_percentile	spatial_null_p	label_null_p	fake_lr_null_p	notes_v3	target_activation_note
11	tier1_recurrent_external_target_enriched	MIF CD74 MIF NSCLC spatial transcriptomics	GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.937681	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	2.3370801	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
12	tier1_recurrent_external_target_enriched	MIF CD74 MIF NSCLC spatial transcriptomics	GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	MIF	CD74	MIF	0.937361	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	2.027398	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
13	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.937148	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	1.5418869	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
14	tier2_recurrent_external_target_supported	SPP1 ITGAV SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855715_NSCLC_P13	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.937136	15	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.3832255	1	0.019607843	0.032258065	0.02970297	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
15	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655165_P15	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.937041	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	3.3370286	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
16	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.936509	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	2.4518356	0.8	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
17	tier1_recurrent_external_target_enriched	MIF CD74 MIF DLBCL spatial transcriptomics	GSE292299	GSM8855719_DLBCL_P1	DLBCL	immune	immune	MIF	CD74	MIF	0.936402	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	3.2997073	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
18	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.936012	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	3.1676928	0.8	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
19	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin colorectal cancer spatial transcriptomics	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.935763	12	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	3.2772337	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
20	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.935266	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	2.4299352	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
21	tier2_recurrent_external_target_supported	SPP1 CD44 SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855708_NSCLC_P6	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.934698	15	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.3434962	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
22	tier2_recurrent_external_target_supported	MIF CD74 MIF NSCLC spatial transcriptomics	GSE292299	GSM8855711_NSCLC_P9	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.934662	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	1.274579	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
23	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655158_P04	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.934378	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	2.0002012	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
24	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin NSCLC spatial transcriptomics	GSE292299	GSM8855714_NSCLC_P12	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.933561	17	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	4.1520727	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
25	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.933313	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	2.9179717	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
26	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.932638	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	2.354084	0.8	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
27	tier1_recurrent_external_target_enriched	SPP1 CD44 SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855706_NSCLC_P4	NSCLC	immune	immune	SPP1	CD44	SPP1	0.932531	14	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	3.2278427	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
28	tier3_target_supported_high_v3	SPP1 CD44 SPP1 melanoma spatial transcriptomics	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932247	4	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.7923923	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
29	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin colorectal cancer spatial transcriptomics	GSE283052	GSM8655168_P24	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.931821	12	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	6.2395148	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
30	tier1_recurrent_external_target_enriched	CXCL12 CXCR4 CXCL chemokine NSCLC spatial transcriptomics	GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.931608	14	2	3	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	1.9015468	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
31	tier1_recurrent_external_target_enriched	MIF CD74 MIF NSCLC spatial transcriptomics	GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.930969	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	2.1112671	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
32	tier3_target_supported_high_v3	JAG1 NOTCH2 NOTCH melanoma spatial transcriptomics	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.93072	4	2	3	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	1.9646592	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
33	tier1_recurrent_external_target_enriched	MIF CD74 MIF DLBCL spatial transcriptomics	GSE292299	GSM8855720_DLBCL_P2	DLBCL	immune	immune	MIF	CD74	MIF	0.930259	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	7.8741462	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
34	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin NSCLC spatial transcriptomics	GSE292299	GSM8855704_NSCLC_P2	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.929398	17	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	2.3889559	1	0.019607843	0.096774194	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
35	tier2_recurrent_external_target_supported	JAG1 NOTCH2 NOTCH NSCLC spatial transcriptomics	GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.928387	15	2	3	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	1.4477307	1	0.019607843	0.032258065	0.04950495	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
36	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin NSCLC spatial transcriptomics	GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927773	17	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	6.4912284	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
37	tier1_recurrent_external_target_enriched	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655162_P10	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.927595	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	4.3694791	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
38	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin colorectal cancer spatial transcriptomics	GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927418	12	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	4.2917455	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
39	tier3_target_supported_high_v3	COL1A1 ITGA2 ECM-integrin melanoma spatial transcriptomics	GSE300445	GSM9060735_AdjIII-0133	melanoma	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927049	4	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	2.928856	1	0.019607843	0.032258065	0.089108911	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
40	tier1_recurrent_external_target_enriched	SPP1 ITGAV SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855706_NSCLC_P4	NSCLC	immune	immune	SPP1	ITGAV	SPP1	0.92653	14	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	3.2278427	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
41	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin NSCLC spatial transcriptomics	GSE292299	GSM8855703_NSCLC_P1	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.926459	17	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	8.7948635	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
42	tier1_recurrent_external_target_enriched	SPP1 ITGAV SPP1 colorectal cancer spatial transcriptomics	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.92621	11	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.6538225	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
43	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin NSCLC spatial transcriptomics	GSE292299	GSM8855709_NSCLC_P7	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925977	17	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	2.958181	1	0.019607843	0.032258065	0.099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
44	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin colorectal cancer spatial transcriptomics	GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925962	12	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	4.6488116	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
45	tier2_recurrent_external_target_supported	MIF CD74 MIF NSCLC spatial transcriptomics	GSE292299	GSM8855710_NSCLC_P8	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.925891	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	1.2814363	0.8	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
46	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin colorectal cancer spatial transcriptomics	GSE283052	GSM8655167_P18	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925642	12	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	2.634738	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
47	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin NSCLC spatial transcriptomics	GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925252	17	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	5.1068491	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
48	tier1_recurrent_external_target_enriched	SPP1 ITGAV SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.925074	15	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	29.130413	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
49	tier1_recurrent_external_target_enriched	COL1A1 ITGA2 ECM-integrin colorectal cancer spatial transcriptomics	GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.924648	12	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	3.9456296	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
50	tier1_recurrent_external_target_enriched	SPP1 ITGAV SPP1 colorectal cancer spatial transcriptomics	GSE283052	GSM8655164_P13	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.923156	11	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	3.2417719	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
51	tier1_recurrent_external_target_enriched	SPP1 CD44 SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855707_NSCLC_P5	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.922908	15	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	2.289905	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
52	tier1_recurrent_external_target_enriched	SPP1 CD44 SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855711_NSCLC_P9	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.922659	15	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	2.8811096	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
